DATETIME,NTU,NTU_DELTA,ABS_NTU_DELTA,R/W NTU,FILT. NTU,R/W FLOW,T/W FLOW,ABS_R/W NTU_DELTA,ABS_FILT. NTU_DELTA,ABS_R/W FLOW_DELTA,ABS_T/W FLOW_DELTA,R/W PUMP DUTY COMBO,R/W PUMP DUTY SWITCH,R/W PUMP DUTY SWITCH_2H_AGO,R/W PUMP DUTY SWITCH_4H_AGO,R/W PUMP DUTY SWITCH_6H_AGO,R/W PUMP DUTY SWITCH_8H_AGO,R/W PUMP DUTY SWITCH_10H_AGO,R/W PUMP DUTY SWITCH_12H_AGO,T/W PUMP DUTY COMBO,T/W PUMP DUTY SWITCH,T/W PUMP DUTY SWITCH_2H_AGO,T/W PUMP DUTY SWITCH_4H_AGO,T/W PUMP DUTY SWITCH_6H_AGO,T/W PUMP DUTY SWITCH_8H_AGO,T/W PUMP DUTY SWITCH_10H_AGO,T/W PUMP DUTY SWITCH_12H_AGO
2025-01-30 23:00,3.07,2.4699999999999998,2.4699999999999998,22.0,0.46,46.1,42.2,1.0,0.23,0.6999999999999957,0.30000000000000426,2,False,False,False,False,False,False,False,1+3,False,False,False,False,False,False,False
2025-01-31 01:00,2.17,-0.8999999999999999,0.8999999999999999,22.0,0.42,46.1,42.2,0.0,0.040000000000000036,0.0,0.0,2,False,False,False,False,False,False,False,1+3,False,False,False,False,False,False,False
2025-01-31 03:00,0.56,-1.6099999999999999,1.6099999999999999,21.0,0.37,46.3,42.1,1.0,0.04999999999999999,0.19999999999999574,0.10000000000000142,2,False,False,False,False,False,False,False,1+3,False,False,False,False,False,False,False
2025-02-01 17:00,1.75,1.22,1.22,14.0,0.4,46.0,42.2,1.0,0.0,0.0,0.20000000000000284,2,False,False,False,False,False,False,False,1+3,False,False,False,False,False,False,False
2025-02-01 23:00,0.32,-1.39,1.39,12.0,0.07,46.2,43.8,1.0,0.030000000000000006,1.6000000000000014,1.5999999999999943,2,False,False,False,False,False,False,False,1+3,False,False,False,False,False,False,False
2025-02-07 07:00,5.0,4.77,4.77,24.0,0.14,45.3,42.3,2.0,0.1,0.7000000000000028,0.9000000000000057,2,False,False,False,False,False,False,False,2+4,False,False,False,False,False,False,False
2025-02-09 07:00,0.27,-4.73,4.73,13.0,0.05,44.8,42.2,0.0,0.009999999999999995,0.09999999999999432,0.10000000000000142,1,False,False,False,False,False,False,False,1+4,False,False,False,False,False,False,False
2025-03-21 21:00,1.89,1.5099999999999998,1.5099999999999998,63.0,0.14,46.6,44.4,4.0,1.8199999999999998,0.8999999999999986,0.0,1,False,False,False,False,False,False,False,2+4,False,False,False,False,False,False,False
2025-03-21 23:00,0.98,-0.9099999999999999,0.9099999999999999,59.0,0.17,46.5,44.4,4.0,0.03,0.10000000000000142,0.0,1,False,False,False,False,False,False,False,2+4,False,False,False,False,False,False,False
2025-04-07 09:00,1.3,1.11,1.11,203.0,0.37,47.9,43.9,18.0,0.08000000000000002,0.10000000000000142,0.10000000000000142,2,False,False,False,False,False,False,False,2+3,False,True,False,False,False,False,False
2025-04-21 23:00,4.82,4.53,4.53,61.0,1.2,47.5,42.1,0.0,1.0999999999999999,2.1000000000000014,0.30000000000000426,,,,,,,,,,,,,,,,
2025-04-22 01:00,2.21,-2.6100000000000003,2.6100000000000003,57.0,0.91,47.0,42.1,4.0,0.2899999999999999,0.5,0.0,,,,,,,,,,,,,,,,
2025-04-22 03:00,0.83,-1.38,1.38,53.0,0.65,47.1,42.0,4.0,0.26,0.10000000000000142,0.10000000000000142,,,,,,,,,,,,,,,,
2025-04-23 23:00,11.9,10.96,10.96,36.0,4.4,48.1,42.3,0.0,2.8000000000000003,0.10000000000000142,0.3999999999999986,,,,,,,,,,,,,,,,
2025-04-24 01:00,6.42,-5.48,5.48,34.0,5.1,47.8,42.4,2.0,0.6999999999999993,0.30000000000000426,0.10000000000000142,,,,,,,,,,,,,,,,
2025-04-24 03:00,2.8,-3.62,3.62,32.0,5.1,46.7,42.2,2.0,0.0,1.0999999999999943,0.19999999999999574,,,,,,,,,,,,,,,,
2025-04-24 07:00,1.4,-1.27,1.27,30.0,0.8,48.5,42.5,2.0,1.9000000000000001,2.200000000000003,0.20000000000000284,,,,,,,,,,,,,,,,
2025-04-24 09:00,0.28,-1.1199999999999999,1.1199999999999999,31.0,0.8,48.4,42.8,1.0,0.0,0.10000000000000142,0.29999999999999716,,,,,,,,,,,,,,,,
