feature,lag,lag_hours,valid_n,pearson_corr,pearson_abs,spearman_corr,spearman_abs
R/W NTU,0,0,5460,0.16932635937929322,0.16932635937929322,0.07672733402644567,0.07672733402644567
R/W NTU,1,2,5459,0.16919620777370947,0.16919620777370947,0.08034624512536931,0.08034624512536931
R/W NTU,2,4,5458,0.16452623112497747,0.16452623112497747,0.08484385857343,0.08484385857343
R/W NTU,3,6,5457,0.15979298808767586,0.15979298808767586,0.08706541630883477,0.08706541630883477
R/W NTU,4,8,5456,0.15793942663650606,0.15793942663650606,0.08940332713308996,0.08940332713308996
R/W NTU,5,10,5455,0.15589930219006778,0.15589930219006778,0.09093640368481057,0.09093640368481057
R/W NTU,6,12,5454,0.15357539386070834,0.15357539386070834,0.092380899397132,0.092380899397132
R/W NTU,7,14,5453,0.15154893309764017,0.15154893309764017,0.09408239350135121,0.09408239350135121
R/W NTU,8,16,5452,0.1488687817088467,0.1488687817088467,0.09480954651133909,0.09480954651133909
R/W NTU,9,18,5451,0.14716017074658508,0.14716017074658508,0.09468622824332235,0.09468622824332235
R/W NTU,10,20,5450,0.14640887762582078,0.14640887762582078,0.09475284157885283,0.09475284157885283
R/W NTU,11,22,5449,0.14671661699756672,0.14671661699756672,0.09619535025095832,0.09619535025095832
R/W NTU,12,24,5448,0.14770046435169443,0.14770046435169443,0.09789278576055556,0.09789278576055556
R/W PH,0,0,3816,-0.01678834291831008,0.01678834291831008,0.0011136070214748037,0.0011136070214748037
R/W PH,1,2,3815,-0.016337098971590802,0.016337098971590802,0.003730271889866207,0.003730271889866207
R/W PH,2,4,3814,-0.017535941327359406,0.017535941327359406,0.007877055977094595,0.007877055977094595
R/W PH,3,6,3813,-0.01785589752000329,0.01785589752000329,0.011172537756461352,0.011172537756461352
R/W PH,4,8,3812,-0.018461337715300265,0.018461337715300265,0.012781139363344667,0.012781139363344667
R/W PH,5,10,3811,-0.018042357378226608,0.018042357378226608,0.013826164384730222,0.013826164384730222
R/W PH,6,12,3810,-0.017299226147141814,0.017299226147141814,0.01458264890231754,0.01458264890231754
R/W PH,7,14,3809,-0.017562612764164307,0.017562612764164307,0.014850449107995316,0.014850449107995316
R/W PH,8,16,3808,-0.019658559426536024,0.019658559426536024,0.01098285076401952,0.01098285076401952
R/W PH,9,18,3807,-0.01929715347227359,0.01929715347227359,0.00930119139201372,0.00930119139201372
R/W PH,10,20,3806,-0.01873293481177598,0.01873293481177598,0.006912808019585921,0.006912808019585921
R/W PH,11,22,3805,-0.018726292124787085,0.018726292124787085,0.0029453754938018584,0.0029453754938018584
R/W PH,12,24,3804,-0.018987213832638766,0.018987213832638766,0.0010936588240913563,0.0010936588240913563
R/W FLOW,0,0,5460,0.08229090595350126,0.08229090595350126,0.050628145853508146,0.050628145853508146
R/W FLOW,1,2,5459,0.08475120507664098,0.08475120507664098,0.050208607491436845,0.050208607491436845
R/W FLOW,2,4,5458,0.08160143408548011,0.08160143408548011,0.04899320950449848,0.04899320950449848
R/W FLOW,3,6,5457,0.07357941099141946,0.07357941099141946,0.04786655942281878,0.04786655942281878
R/W FLOW,4,8,5456,0.0706721020990485,0.0706721020990485,0.04915665074035256,0.04915665074035256
R/W FLOW,5,10,5455,0.06897804708395389,0.06897804708395389,0.049186763172534044,0.049186763172534044
R/W FLOW,6,12,5454,0.07082811715869505,0.07082811715869505,0.05132273994034163,0.05132273994034163
R/W FLOW,7,14,5453,0.06360973335400022,0.06360973335400022,0.05167649434893241,0.05167649434893241
R/W FLOW,8,16,5452,0.058138376151884934,0.058138376151884934,0.05225903192236129,0.05225903192236129
R/W FLOW,9,18,5451,0.047706401813782336,0.047706401813782336,0.05323652327893785,0.05323652327893785
R/W FLOW,10,20,5450,0.03632667967450151,0.03632667967450151,0.05517289582652577,0.05517289582652577
R/W FLOW,11,22,5449,0.022849704159513817,0.022849704159513817,0.05555261019716389,0.05555261019716389
R/W FLOW,12,24,5448,0.014500944465721564,0.014500944465721564,0.05688808691205337,0.05688808691205337
R/W CLR,0,0,5460,0.14876313126901877,0.14876313126901877,0.051482534695705795,0.051482534695705795
R/W CLR,1,2,5459,0.1445478819009923,0.1445478819009923,0.056576004840145314,0.056576004840145314
R/W CLR,2,4,5458,0.1348568585656043,0.1348568585656043,0.06115090997009151,0.06115090997009151
R/W CLR,3,6,5457,0.128681488183853,0.128681488183853,0.06430518932112723,0.06430518932112723
